"","long","lat","city"
"496","-73.8648268","40.8447819",NA
"497","-73.8648268","40.8447819",NA
"498","-73.8648268","40.8447819",NA
"499","-73.8648268","40.8447819",NA
"500","-73.8648268","40.8447819",NA
"501","-119.8138027","39.5296329",NA
"502","-73.8648268","40.8447819",NA
"503","-73.8648268","40.8447819",NA
"504","-73.8648268","40.8447819",NA
"505","-119.8138027","39.5296329",NA
"506","-73.8648268","40.8447819",NA
"507","-73.8648268","40.8447819",NA
"508","-86.5861037","34.7303688",NA
"509","-73.8648268","40.8447819",NA
"510","-91.1403196","30.4582829",NA
"511","-71.4547891","42.9956397",NA
"512","-73.8648268","40.8447819",NA
"513","-73.8648268","40.8447819",NA
"514","-74.1562551","40.7464901",NA
"515","-71.4547891","42.9956397",NA
"516","-73.8648268","40.8447819",NA
"517","-73.8648268","40.8447819",NA
"518","-73.8648268","40.8447819",NA
"519","-73.8648268","40.8447819",NA
"520","-91.1403196","30.4582829",NA
"521","-73.8648268","40.8447819",NA
"522","-73.8648268","40.8447819",NA
"523","-121.530234","38.5804609",NA
"524","-78.7811169","35.79154",NA
"525","-86.5861037","34.7303688",NA
"526","-122.0310733","37.9779776",NA
"527","-80.1494901","26.0112014",NA
"528","-82.5187629","37.4792672",NA
"529","-117.2897652","34.1083449",NA
"530","-117.1483648","33.4936391",NA
"531","-89.5889864","40.6936488",NA
"532","-87.2169149","30.421309",NA
"533","-91.1403196","30.4582829",NA
"534","-94.8835754","39.059726",NA
"535","-83.9508068","43.4194699",NA
"536","-92.1004852","46.7866719",NA
"537","-85.1393513","41.079273",NA
"538","-75.4901833","40.6084305",NA
"539","-75.3076883","39.957902",NA
"540","-77.026088","38.9906657",NA
"541","-112.3576567","33.4353394",NA
"542","-87.2169149","30.421309",NA
"543","-73.8648268","40.8447819",NA
"544","-87.2169149","30.421309",NA
"545","-119.8138027","39.5296329",NA
"546","-73.8648268","40.8447819",NA
"547","-73.8648268","40.8447819",NA
"548","-73.8648268","40.8447819",NA
"549","-73.8648268","40.8447819",NA
"550","-73.8648268","40.8447819",NA
"551","-73.8648268","40.8447819",NA
"552","-73.8648268","40.8447819",NA
"553","-73.8648268","40.8447819",NA
"554","-73.8648268","40.8447819",NA
"555","-119.8138027","39.5296329",NA
"556","-73.8648268","40.8447819",NA
"557","-73.8648268","40.8447819",NA
"558","-73.8648268","40.8447819",NA
"559","-119.8138027","39.5296329",NA
"560","-73.8648268","40.8447819",NA
"561","-73.8648268","40.8447819",NA
"562","-86.5861037","34.7303688",NA
"563","-73.8648268","40.8447819",NA
"564","-91.1403196","30.4582829",NA
"565","-71.4547891","42.9956397",NA
"566","-73.8648268","40.8447819",NA
"567","-73.8648268","40.8447819",NA
"568","-74.1562551","40.7464901",NA
"569","-71.4547891","42.9956397",NA
"570","-73.8648268","40.8447819",NA
"571","-73.8648268","40.8447819",NA
"572","-73.8648268","40.8447819",NA
"573","-73.8648268","40.8447819",NA
"574","-91.1403196","30.4582829",NA
"575","-73.8648268","40.8447819",NA
"576","-73.8648268","40.8447819",NA
"577","-121.530234","38.5804609",NA
"578","-78.7811169","35.79154",NA
"579","-86.5861037","34.7303688",NA
"580","-97.3307658","32.7554883",NA
"581","-73.8648268","40.8447819",NA
"582","-73.8648268","40.8447819",NA
"583","-73.8648268","40.8447819",NA
"584","-79.7625625","34.1954331",NA
"585","-122.0310733","37.9779776",NA
"586","-80.1494901","26.0112014",NA
"587","-82.5187629","37.4792672",NA
"588","-117.2897652","34.1083449",NA
"589","-117.1483648","33.4936391",NA
"590","-89.5889864","40.6936488",NA
"591","-87.2169149","30.421309",NA
"592","-91.1403196","30.4582829",NA
"593","-94.8835754","39.059726",NA
"594","-83.9508068","43.4194699",NA
"595","-92.1004852","46.7866719",NA
"596","-75.4901833","40.6084305",NA
"597","-75.3076883","39.957902",NA
"598","-77.026088","38.9906657",NA
"599","-85.1393513","41.079273",NA
"600","-112.3576567","33.4353394",NA
"601","-87.2169149","30.421309",NA
"602","-73.8648268","40.8447819",NA
"603","-87.2169149","30.421309",NA
"604","-119.8138027","39.5296329",NA
"605","-73.8648268","40.8447819",NA
"606","-73.8648268","40.8447819",NA
"607","-73.8648268","40.8447819",NA
"608","-73.8648268","40.8447819",NA
